id,name,schulform,street,plz,stadt,traeger,standorttyp,lat,lon
0,Gesamtschule Brünninghausen,Gesamtschule ,Klüsenerskamp 15 / Fritz-Kahl-Straße,44225,Dortmund,Stadt Dortmund,3,51.4795983667,7.45592747466
1,Geschwister-Scholl-Gesamtschule ,Gesamtschule ,Haferfeldstraße 3-5,44309,Dortmund,Stadt Dortmund,3,51.5300074617,7.55401984892
2,Gustav-Heinemann-Gesamtschule,Gesamtschule,Parsevalstraße 170,44369,Dortmund,Stadt Dortmund,5,51.5335682203,7.40573534666
3,Heinrich-Böll-Gesamtschule,Gesamtschule ,Volksgartenstraße 19,44388,Dortmund,Stadt Dortmund,4,51.5036910694,7.33641607036
4,Martin-Luther-King-Gesamtschule,Gesamtschule,Fine Frau 50-58,44149,Dortmund,Stadt Dortmund,5,51.5023181001,7.40617045571
5,Gesamtschule Scharnhorst,Gesamtschule ,Mackenrothweg 15,44328,Dortmund,Stadt Dortmund,5,51.5508744155,7.54488337515
6,Emscherschule Aplerbeck,Hauptschule,Schweizer Allee 25,44287,Dortmund,Stadt Dortmund,4,51.4911698637,7.55917831945
7,Schule am Hafen,Hauptschule,Scharnhorststr. 40,44147,Dortmund,Stadt Dortmund,5,51.5204790109,7.44652559317
8,Hauptschule Westerfilde,Hauptschule,Im Odemsloh 107,44357,Dortmund,Stadt Dortmund,4,51.5455640404,7.36883922359
9,Bert-Brecht-Gymnasium,Gymnasium,Sumbecks Holz 5,44379,Dortmund,Stadt Dortmund,4,51.5165536388,7.35912335115
10,Goethe-Gymnasium,Gymnasium,Stettiner Straße 12,44263,Dortmund,Stadt Dortmund,3,51.4795497288,7.49197219613
11,Heinrich-Heine-Gymnasium,Gymnasium,Dörwerstr. 34,44359,Dortmund,Stadt Dortmund,4,51.5586483141,7.39051646358
12,Heisenberg-Gymnasium,Gymnasium,Preußische Str. 225,44339,Dortmund,Stadt Dortmund,4,51.5530507015,7.49485198052
13,Helene-Lange-Gymnasium,Gymnasium,Am Hombruchsfeld 55a,44225,Dortmund,Stadt Dortmund,3,51.474431698,7.45069631966
14,Helmholtz-Gymnasium,Gymnasium,Münsterstr. 122,44145,Dortmund,Stadt Dortmund,5,51.5266071789,7.45976113455
15,Immanuel-Kant-Gymnasium,Gymnasium,Grüningsweg 42,44319,Dortmund,Stadt Dortmund,3,51.5316037064,7.59502642943
16,Käthe-Kollwitz-Gymnasium,Gymnasium,Erzbergerstr. 1,44135,Dortmund,Stadt Dortmund,4,51.5105296077,7.47314815971
17,Leibniz-Gymnasium,Gymnasium,Kreuzstr. 163,44137,Dortmund,Stadt Dortmund,4,51.5011891167,7.4421412631
18,Mallinckrodt-Gymnasium,Gymnasium,Südrandweg 2-4,44139,Dortmund,"Erzbischöfliches Generalvikariat,",4,51.5093183945,7.46651166294
19,Max-Planck-Gymnasium,Gymnasium,Ardeystraße 70-72,44139,Dortmund,Stadt Dortmund,3,51.4901165594,7.46016463396
20,Phoenix-Gymnasium,Gymnasium,Seekante 12,44263,Dortmund,Stadt Dortmund,5,51.4924443497,7.50006816758
21,Privatgymnasium Stadtkrone,Gymnasium,Lissaboner Allee 15,44269,Dortmund,Privatgymnasium Stadtkrone e.V.,3,51.5003225091,7.52347100185
22,Gymnasium Reinoldus und Schiller,Gymnasium,Hallerey 49/51,44149,Dortmund,Stadt Dortmund,3,51.514609787,7.41107260742
23,Gymnasium an der Schweizer Allee,Gymnasium,Schweizer Allee 18-20,44287,Dortmund,Stadt Dortmund,3,51.4915851094,7.56377149724
24,"Albert-Einstein-Realschule
",Realschule,Gleiwitzstr. 200,44328,Dortmund,Stadt Dortmund,5,51.5530204225,7.53161684065
25,Albert-Schweitzer-Realschule,Realschule,Dörwerstr. 42,44359,Dortmund,Stadt Dortmund,4,51.5590158835,7.39211392489
26,Albrecht-Dürer-Realschule,Realschule,Schweizer Allee 25,44287,Dortmund,Stadt Dortmund,3,51.4905730353,7.55944593625
27,Max-Born-Realschule,Realschule,Dollersweg 18,44319,Dortmund,Stadt Dortmund,4,51.5355049462,7.62002819557
28,Nikolaus-Kopernikus-Realschule,Realschule,Im Odemsloh 107,44357,Dortmund,Stadt Dortmund,5,51.5463933998,7.36863345364
29,Robert-Koch-Realschule,Realschule,Am Hombruchsfeld 69,44225,Dortmund,Stadt Dortmund,4,51.4761824121,7.45086702421
30,Theodor-Heuss-Realschule,Realschule,In der Großen Heide 15-17,44339,Dortmund,Stadt Dortmund,4,51.5524335051,7.49320245344
31,Wilhelm-Busch-Realschule,Realschule,Höfkerstr. 7,44149,Dortmund,Stadt Dortmund,4,51.5173747553,7.4091266366
32,Reinoldi-Sekundarschule,Sekundarschule,Im Odemsloh 107,44357,Dortmund,Stadt Dortmund,5,51.5463933998,7.36863345364
33,Carolinengesamtschule Bochum,Gesamtschule,Springorumallee 1,44795,Bochum,Schul- und Bildungswerkstatt gGmbH,1,51.4547755522,7.20965818066
34,Freie Schule Bochum,Gesamtschule,Wiemelhauser Str. 270,44799,Bochum,Freie Schule Bochum e.V.,3,51.4584029517,7.22820012163
